File,Line_number,SRC
components/camel-spring/src/main/java/org/apache/camel/spring/SpringRouteBuilder.java,33,public abstract class SpringRouteBuilder extends RouteBuilder {
camel-core/src/test/java/org/apache/camel/component/dataset/DataSetSedaTest.java,31,public void test() throws Exception {
camel-core/src/test/java/org/apache/camel/component/dataset/DataSetSedaTest.java,32,"MockEndpoint endpoint = getMockEndpoint(""dataset:foo"");"
components/camel-amqp/src/test/java/org/apache/camel/component/amqp/AMQPRouteTest.java,64,TransportConnection.createVMBroker(1);
camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,78,"private final Map<String, Endpoint> endpoints = new HashMap<String, Endpoint>();"
camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,640,return null;
camel-core/src/main/java/org/apache/camel/management/CamelNamingStrategy.java,51,"protected String hostName = ""locahost"";"
components/camel-jaxb/src/test/java/org/apache/camel/example/DataFormatTest.java,49,"DataFormat jaxb = new JaxbDataFormat(""org.apache.camel.example"");"
components/camel-jaxb/src/test/java/org/apache/camel/example/DataFormatTest.java,52,marshal(jaxb).
components/camel-jaxb/src/test/java/org/apache/camel/example/DataFormatTest.java,56,unmarshal(jaxb).
components/camel-spring/src/main/java/org/apache/camel/spring/CamelBeanPostProcessor.java,74,if (bean instanceof CamelContextAware) {
components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java,105,"registerParser(elementName, parser);"
components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java,131,"protected Object parseUsingJaxb(Element element, ParserContext parserContext) {"
components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java,193,"Object value = parseUsingJaxb(element, parserContext);"
components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java,244,injectNamespaces(element);
components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java,254,protected void injectNamespaces(Element element) {
components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java,270,injectNamespaces(childElement);
components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java,141,"throw new BeanDefinitionStoreException(""Failed to parse JAXB element: "" + e, e);"
components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java,189,"element.setAttribute(""id"", contextId);"
components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java,147,jaxbContext = createJaxbContext();
components/camel-spring/src/test/java/org/apache/camel/spring/CamelContextAwareTest.java,25,protected CamelContextAwareBean bean;
components/camel-spring/src/test/java/org/apache/camel/spring/CamelContextAwareTest.java,35,"bean = getMandatoryBean(CamelContextAwareBean.class, ""bean"");"
camel-core/src/main/java/org/apache/camel/util/UnsafeUriCharactersEncoder.java,63,try {
camel-core/src/main/java/org/apache/camel/util/UnsafeUriCharactersEncoder.java,65,"byte[] bytes = s.getBytes(""UTF8"");"
camel-core/src/main/java/org/apache/camel/util/UnsafeUriCharactersEncoder.java,66,for (int i = 0;;) {
camel-core/src/main/java/org/apache/camel/util/UnsafeUriCharactersEncoder.java,67,if (unsafeCharacters.get(bytes[i])) {
camel-core/src/main/java/org/apache/camel/util/UnsafeUriCharactersEncoder.java,76,StringBuffer sb = new StringBuffer();
camel-core/src/main/java/org/apache/camel/util/UnsafeUriCharactersEncoder.java,77,for (byte b : bytes) {
camel-core/src/main/java/org/apache/camel/util/UnsafeUriCharactersEncoder.java,78,if (unsafeCharacters.get(b)) {
camel-core/src/main/java/org/apache/camel/util/UnsafeUriCharactersEncoder.java,79,"appendEscape(sb, b);"
camel-core/src/main/java/org/apache/camel/util/UnsafeUriCharactersEncoder.java,80,} else {
camel-core/src/main/java/org/apache/camel/util/UnsafeUriCharactersEncoder.java,81,sb.append((char)b);
camel-core/src/main/java/org/apache/camel/util/UnsafeUriCharactersEncoder.java,32,"'D', 'E', 'F'};"
camel-core/src/test/java/org/apache/camel/util/UnsafeCharactersEncoderTest.java,26,String result = UnsafeUriCharactersEncoder.encode(beforeEncoding);
camel-core/src/test/java/org/apache/camel/util/UnsafeCharactersEncoderTest.java,27,"assertEquals(""Get the wrong encoding result"", result, afterEncoding);"
camel-core/src/test/java/org/apache/camel/util/UnsafeCharactersEncoderTest.java,32,String result = UnsafeUriCharactersEncoder.encode(noEncoding);
camel-core/src/test/java/org/apache/camel/util/UnsafeCharactersEncoderTest.java,33,"assertEquals(""Get the wrong encoding result"", result, noEncoding);"
camel-core/src/main/java/org/apache/camel/impl/DefaultRouteContext.java,102,return route.resolveEndpoint(uri);
components/camel-jetty/src/test/java/org/apache/camel/component/jetty/HttpToFileTest.java,47,String content = IOConverter.toString(file);
camel-core/src/test/java/org/apache/camel/converter/ConverterTest.java,150,"assertNotNull(""Cannot find resource!"");"
camel-core/src/test/java/org/apache/camel/converter/ConverterTest.java,151,File file = new File(resource.getFile());
camel-core/src/main/java/org/apache/camel/builder/xml/XPathBuilder.java,211,"getNamespaceContext().add(prefix, uri);"
camel-core/src/main/java/org/apache/camel/builder/xml/XPathBuilder.java,307,getNamespaceContext().setNamespaces(namespaces);
camel-core/src/main/java/org/apache/camel/builder/xml/XPathBuilder.java,342,return headerFunction;
camel-core/src/main/java/org/apache/camel/builder/xml/XPathBuilder.java,384,return outHeaderFunction;
camel-core/src/test/java/org/apache/camel/component/log/LogRouteTest.java,44,"fail(""Shoudl have failed!"");"
camel-core/src/main/java/org/apache/camel/component/bean/BeanProcessor.java,64,"String description = methodObject != null ? "" "" + methodObject : """";"
camel-core/src/main/java/org/apache/camel/component/bean/BeanProcessor.java,65,"return ""BeanProcessor["" + beanHolder + description + ""]"";"
camel-core/src/main/java/org/apache/camel/component/bean/BeanProcessor.java,147,return beanHolder.getProcessor();
camel-core/src/main/java/org/apache/camel/component/bean/BeanProcessor.java,186,ServiceHelper.startService(getProcessor());
